map#	urban_packing	rural_packing	college_degree_packing	income_packing	poverty_packing	minority_packing	repub_packing	dem_packing	compactness	minority_wins	dem_wins
67	0.4106668929	0.3664889693	0.2448570658	0.3483813141	0.3078101952	0.5083294012	0.3619951338	0.3780121261	0.4088309547	14	39
68	0.7853796253	0.6656372245	0.5352633895	0.5825786703	0.5254737749	0.4877140763	0.5423940934	0.5360082045	0.5515710012	12	39
69	0.3674800023	0.2519935326	0.2913048353	0.5195832747	0.4556795745	0.4479698621	0.4638986426	0.4783070707	0.3928769757	12	40
70	0.7887051795	0.6201865011	0.3965839924	0.6151050842	0.7614987918	0.6550739494	0.5986171909	0.6090447505	0.2542049367	13	42
71	0.544742284	0.5884480315	0.6227087753	0.5384685774	0.5148566615	0.5408034186	0.5870679126	0.610563505	0.2919366698	11	42
72	0.5604833093	0.4521391641	0.3242039751	0.2861387305	0.6473086993	0.1753028246	0.250760185	0.2521343524	0.3661379441	13	39
73	0.5391379552	0.4774454218	0.4546306857	0.5536071779	0.5042392166	0.670404097	0.6397207369	0.649824904	0.7370826236	12	41
74	0.351525346	0.2853012416	0.3651313483	0.5330853631	0.4048935055	0.1959389189	0.238974778	0.2172760359	0.3932831353	12	42
75	0.5028239025	0.5326931359	0.5865350286	0.5488045011	0.4245332422	0.4694432149	0.3657747151	0.3740018464	0.4678270436	12	41
76	0.4265505673	0.4597260591	0.4242701589	0.352520027	0.182268852	0.218144303	0.3583007676	0.3624640109	0.3740544109	13	39
77	0.5946429064	0.5323591167	0.4291283092	0.5066709651	0.3965785781	0.3957384792	0.4514326042	0.4683794234	0.3649707849	12	42
78	0.6016570225	0.5958065276	0.6742250731	0.7659611089	0.729187092	0.7146080315	0.566985365	0.5746662054	0.5780347442	11	38
79	0.1675444267	0.1188523155	0.7219924366	0.6302643581	0.5781869566	0.5088393422	0.4461484341	0.4761149583	0.3565929266	13	43
80	0.3794657043	0.3196155911	0.7335977186	0.530365136	0.4688144639	0.5101189897	0.5617938834	0.5737796158	0.6075959079	12	41
81	0.5857112514	0.5917742646	0.3477922779	0.438711071	0.4813048198	0.3408094689	0.4527394248	0.4400326872	0.142256768	13	39
82	0.3360578656	0.3485233084	0.5746507046	0.5681310379	0.4481847249	0.3773054233	0.4392162581	0.4529421404	0.2943512084	13	39
83	0.4931662492	0.4389445208	0.7327075302	0.6557713455	0.6524177928	0.5855660832	0.5897579385	0.6273922511	0.536799273	12	38
84	0.5306408777	0.4837393646	0.5184872629	0.3596126342	0.3911136472	0.3592653536	0.4264798827	0.4094507661	0.4728319481	13	42
85	0.4129023085	0.3790976692	0.5547882583	0.5442055592	0.635635956	0.3267513134	0.4871408591	0.4579108786	0.6898696905	15	40
86	0.239396681	0.2096938094	0.4596879901	0.6645501675	0.6702771424	0.7822317752	0.5494336282	0.5738599236	0.3979015533	12	39
87	0.5026375883	0.4342477745	0.6448081417	0.4076585464	0.635265749	0.3954649468	0.2976763566	0.3219841627	0.4479386867	12	39
88	0.6197363423	0.4896971689	0.3852239023	0.6149366881	0.6666744294	0.5851634572	0.6282437086	0.6328290605	0.4381119483	13	41
89	0.4327267948	0.4523193497	0.9297888584	0.6948410015	0.8121565586	0.6999137323	0.6674433879	0.6599632891	0.2927996466	11	38
90	0.3436659272	0.2882159347	0.5396716784	0.5497614351	0.3311975755	0.4132203052	0.3996983943	0.4091588008	0.2296809779	12	43
91	0.296657091	0.2878364785	0.6711032713	0.6175246782	0.5264093357	0.3686616021	0.4102963041	0.4093442489	0.3924209419	14	39
92	0.5442070397	0.5932858837	0.4345701254	0.2907184904	0.4595792274	0.6080748714	0.5393921723	0.5687273421	0.2333319993	13	39
93	0.1419821298	0.1972441879	0.5956171386	0.6203207971	0.6411122851	0.5571478941	0.5752442367	0.6005481475	0.420182211	12	41
94	0.5274585587	0.4838779669	0.5874910098	0.4765548797	0.6371085462	0.5464857837	0.6077050029	0.5934516209	0.3741523882	13	43
95	0.5604926629	0.539504962	0.470335855	0.6149182029	0.5246566824	0.5223727215	0.3933919375	0.3957169997	0.0803486065	10	40
96	0.6650328293	0.6527942807	0.5686236801	0.6411997832	0.7154232386	0.7200954976	0.6810947191	0.6632805312	0.4046326273	12	42
97	0.4938159185	0.3446213637	0.6420108661	0.6689615614	0.7240506125	0.5506885131	0.5166141157	0.5256556305	0.4107239095	14	41
98	0.4436924639	0.3709189001	0.3728468185	0.5557641959	0.5971746647	0.661915523	0.7769474743	0.7904949107	0.233108798	14	40
99	0.400950677	0.3337430985	0.4586476243	0.543920225	0.5289596888	0.5278880132	0.4618156484	0.4623754589	0.449739262	12	42
100	0.5931116537	0.7367571885	0.5110302845	0.5100901745	0.674625656	0.8296943225	0.7744275412	0.7797416408	0.5252427287	13	39
101	0.4003136625	0.3345131484	0.4343717232	0.3594628321	0.6081134886	0.4286614675	0.4635704003	0.4842512754	0.4170991334	12	42
102	0.7183851797	0.6271248841	0.5235179713	0.3997866423	0.5073251773	0.3647246479	0.5211226881	0.5238698109	0.4811864822	12	40
103	0.4135118477	0.3364391042	0.602544948	0.5771952887	0.4778982831	0.50352155	0.4041558723	0.4182295077	0.2103114123	12	40
104	0.7477189127	0.6398231577	0.3129271905	0.1734902465	0.3875324292	0.3632330205	0.4949299612	0.4857817534	0.4169703877	15	39
105	0.6096811974	0.4360293555	0.5564751021	0.6329885684	0.5765906175	0.643891371	0.607041578	0.6133703354	0.3291104975	13	43
106	0.4250632409	0.4460543711	0.4086355106	0.4872080072	0.4861486728	0.3916430709	0.6018108802	0.597559784	0.5173149131	13	38
107	0.2961814422	0.2597892233	0.4677010812	0.4804659133	0.5778874859	0.3509944929	0.3874913185	0.3782205269	0.2360900082	13	43
108	0.546049951	0.6080466493	0.5158763932	0.6826426755	0.5800586365	0.6174062111	0.643776997	0.6531193605	0.4342095708	12	37
109	0.3096138598	0.4249034685	0.4562171426	0.6189156609	0.4857303217	0.4609997642	0.3556435408	0.3483239757	0.2664176849	12	40
110	0.6182330611	0.5507064341	0.4379783508	0.5204302072	0.7456632572	0.7165943703	0.5205332527	0.5463554668	0.4760884413	12	42
111	0.4748212335	0.5075365521	0.6121302016	0.6255105693	0.6771221864	0.7079616175	0.7238707688	0.7106743582	0.3526896676	14	37
112	0.4510330684	0.4713531217	0.660094719	0.6914471514	0.6942066494	0.7044461628	0.6555620168	0.655945947	0.5705642782	12	40
113	0.550308513	0.4296101844	0.6311751229	0.6478968367	0.757265607	0.651731941	0.506492658	0.5327207007	0.4176814929	12	39
114	0.4622165751	0.4317554646	0.6022118862	0.5869630001	0.5568039577	0.5305845302	0.4046160124	0.4304698087	0.4729695956	12	38
115	0.4312909395	0.4060731459	0.6957061629	0.6412087752	0.6474395787	0.6346282252	0.6798698457	0.6889576885	0.352176737	12	39
116	0.4363957216	0.4439551448	0.5184660786	0.6665835107	0.4985404428	0.4263769979	0.3516142796	0.357861797	0.2705150558	12	39
117	0.5673062724	0.6049545083	0.2852678313	0.5671613671	0.599217982	0.6537859913	0.6159235111	0.6278841959	0.2097135247	12	39
118	0.4276268709	0.361066877	0.5297036981	0.3689477349	0.4186867159	0.470099982	0.4660515033	0.4725200641	0.5574026276	12	41
119	0.709691777	0.5543972619	0.4496526839	0.7959735275	0.7321631361	0.6212593029	0.5928498447	0.6094089558	0.3917130149	12	40
120	0.3851409519	0.3513538768	0.5312909543	0.5546638638	0.4229511117	0.3025629557	0.2927916201	0.3060739948	0.3142078418	12	40
121	0.2483124963	0.3329359817	0.2546105538	0.3719179864	0.4629181249	0.3361634856	0.4276005591	0.4430327029	0.3472558999	12	39
122	0.457252299	0.3899102765	0.3937710968	0.3649493321	0.1604438728	0.3018839907	0.2671372641	0.2692344657	0.3584932564	12	42
123	0.8272709182	0.725493607	0.474818854	0.5622068266	0.4986124345	0.4472806227	0.5155586708	0.5262940637	0.4537272033	12	41
124	0.5754729654	0.5721055843	0.5090012198	0.702240904	0.7055993587	0.5566345982	0.542038776	0.5531851019	0.2696891351	13	38
125	0.302353241	0.3343672528	0.4134853564	0.6934218127	0.8079542222	0.5413869442	0.7721634858	0.7678168334	0.360490456	12	39
126	0.3950603941	0.4452322671	0.6591252478	0.6108630804	0.4391399549	0.4327542587	0.4667733181	0.4476198196	0.6516577861	13	42
127	0.4711742624	0.3891705077	0.6888571609	0.6811830134	0.7643731707	0.4417485842	0.4057393621	0.4064431822	0.3050100118	11	39
128	0.550375811	0.4665318169	0.2401890982	0.4424184008	0.3482191155	0.1636769104	0.2118259946	0.2301277155	0.2906611919	13	44
129	0.3617817656	0.275075649	0.5210770831	0.4688947957	0.4629967603	0.5480118518	0.5386022417	0.5342533882	0.494674654	14	38
130	0.5511616442	0.5905170625	0.6503394142	0.6146849275	0.7679938822	0.7023909897	0.6724572734	0.6756518317	0.3343295045	12	40
131	0.7516438737	0.7171822652	0.4426144728	0.4877046207	0.5477838545	0.2996262242	0.4917593262	0.4889990236	0.4754055831	13	37
132	0.4284301361	0.5069979648	0.609308788	0.6651183996	0.7372121042	0.6303700995	0.6952798168	0.6783677258	0.312414035	14	39
133	0.432518504	0.3685825242	0.4901600585	0.6576351848	0.5958245137	0.7049727314	0.6828672095	0.7057422488	0.3180713366	11	40
134	0.5030978248	0.4619953796	0.7460879025	0.4915793544	0.6850448977	0.6700313065	0.6817260124	0.7196636883	0.5485625942	12	41
135	0.2648586851	0.1789143519	0.8235386583	0.6278561688	0.6363177831	0.2959661876	0.2739091938	0.2921371738	0.3037333182	12	39
136	0.6295659131	0.5596084892	0.7027483672	0.6061206029	0.6735222944	0.723678944	0.6529997006	0.6723563477	0.3853020572	12	39
137	0.522859485	0.4397874854	0.4564608626	0.5808740867	0.6162312732	0.6096585193	0.5809016162	0.5877826608	0.4038674995	12	40
138	0.5057787443	0.4944717244	0.3202876043	0.6266368816	0.6227996917	0.7359237688	0.6005460248	0.6036016962	0.3115860324	12	39
139	0.6127262815	0.4976884897	0.2306598401	0.3577152524	0.4060090327	0.1633527611	0.1572922857	0.1784111931	0.0947185763	11	39
140	0.5899582032	0.5088306378	0.5235581989	0.5214404466	0.4466347336	0.2602037257	0.4430949322	0.4215013867	0.4263124499	12	40
141	0.4152522756	0.4878790878	0.4213338323	0.6563350492	0.619911229	0.6051792928	0.5987921221	0.6072397949	0.500548473	14	38
142	0.6587876645	0.5442803936	0.5605184418	0.4141317292	0.5023606459	0.3917947202	0.3820415059	0.3931909529	0.4959978054	12	43
143	0.4908358623	0.5370981958	0.7703590796	0.6609362012	0.70558208	0.6333350203	0.5065345146	0.4998094485	0.3353655995	12	39
144	0.1901050882	0.3290942104	0.4286203142	0.7072420776	0.6045199827	0.6934502009	0.4902131051	0.4871239867	0.4558246129	11	41
145	0.522296856	0.354363842	0.435875384	0.5410192755	0.6125596614	0.3942164224	0.3857895582	0.4165456556	0.4311038398	11	42
146	0.3058941422	0.2959195818	0.5482333307	0.4886070892	0.4123712146	0.3595498335	0.4038795803	0.4232445912	0.3938150658	12	39
147	0.5130358849	0.4305187006	0.6115045744	0.442884096	0.6495278861	0.5657264902	0.5704441568	0.5791411999	0.4688405043	12	43
148	0.5250440752	0.4042583756	0.2109270882	0.6887835731	0.7209942808	0.7386890446	0.7194989877	0.737395295	0.3148840153	12	40
149	0.4760228186	0.4993676368	0.5652110027	0.5766829664	0.6175215198	0.6673014616	0.7851332343	0.7856869328	0.4856447481	13	38
150	0.3756950083	0.3570879704	0.5415195344	0.4563437249	0.5411005148	0.3532124753	0.3972168728	0.4054304458	0.3984689446	12	41
151	0.6485554876	0.5674220734	0.2828555521	0.4084833667	0.3314918966	0.489670281	0.4252636082	0.456740431	0.2009822101	12	40
152	0.3740292017	0.2872117713	0.3758150465	0.5476092877	0.5245441028	0.6255297331	0.5775658063	0.5808450169	0.4722201542	11	40
153	0.4139845116	0.3594896369	0.6359204191	0.4990275003	0.423162547	0.4099724402	0.4388636385	0.4288200143	0.244925076	13	42
154	0.4409264265	0.4011380815	0.5921849038	0.3757757137	0.4296151454	0.4621006096	0.4185916488	0.4373332825	0.4963673237	11	41
155	0.4117411929	0.4141215294	0.3785387464	0.3704211985	0.4265415885	0.5244326479	0.3896440202	0.4042176285	0.1628032944	13	41
156	0.5689542593	0.5175956739	0.3996628841	0.4444019507	0.4587990434	0.5423896152	0.3860146958	0.3861725613	0.167249174	11	41
157	0.1651835987	0.222991692	0.5741567463	0.4502387337	0.3460709137	0.2917604862	0.2426202486	0.2596547072	0.499561265	13	40
158	0.6408683235	0.5485055862	0.3484386646	0.7169386913	0.7490950592	0.7191150408	0.7372537674	0.7552674053	0.7637698784	12	39
159	0.4009237413	0.3621346527	0.2189966797	0.5099935078	0.7417513522	0.5853379893	0.5014996103	0.5343033657	0.4206149346	12	40
160	0.6467443176	0.6383824346	0.6856146134	0.8634197508	0.8549027413	0.6367981111	0.6845538419	0.6714571933	0.6417115167	13	41
161	0.3428423747	0.2937369058	0.3984001663	0.6651616095	0.8468365876	0.7074526575	0.600530738	0.6071958198	0.4357839008	13	40
162	0.4502690552	0.4107155701	0.5427212093	0.8289863768	0.8181728735	0.6875472203	0.6654002572	0.6639838704	0.4322748071	14	39
163	0.5701562344	0.565945831	0.5164557435	0.6481109974	0.5781673759	0.6695345069	0.4610372383	0.472996906	0.2276043414	12	41
164	0.3427815983	0.3806350312	0.4423093798	0.6258908498	0.7250856444	0.3433878962	0.3624027902	0.3717155929	0.6723484303	14	42
165	0.7156357136	0.6330894677	0.2493268926	0.5279149441	0.4862412165	0.526372861	0.4744377265	0.4797922808	0.4952343714	12	40
166	0.3766323104	0.3129042614	0.4020108869	0.3931223202	0.5303435101	0.5090880181	0.4514123102	0.4734055708	0.283509376	12	42
167	0.3987681632	0.3364151049	0.4723109633	0.6699729787	0.5850974922	0.5124593486	0.5090742222	0.5386222981	0.4599917492	12	40
168	0.5970223804	0.5069540375	0.6464365421	0.6112196431	0.6456190839	0.6286225841	0.6405392074	0.6152772754	0.5614816636	13	39
169	0.5077853714	0.4654660197	0.6229931758	0.4750171027	0.7164900276	0.5264464786	0.5314545303	0.5425779823	0.4259847454	12	41
170	0.3269267654	0.291766441	0.4390461461	0.5974535022	0.3608839211	0.2775952229	0.255041387	0.2581065721	0.5058727756	13	42
171	0.4181071451	0.3502052289	0.4559179456	0.5874963539	0.5985631906	0.4819256216	0.4811220245	0.495844344	0.463523288	12	41
172	0.2805514542	0.3684709477	0.7050331914	0.7751046723	0.8534001943	0.793900655	0.7737923065	0.7923963225	0.4733842806	12	41
173	0.2861358167	0.3036250572	0.5963196313	0.5185227432	0.3286691974	0.368278068	0.2004254091	0.2291893316	0.2900391009	11	40
174	0.5122077838	0.4546572489	0.7124650582	0.6048396636	0.8307824278	0.4133348482	0.434125396	0.4341804068	0.5241484129	13	41
175	0.6963856113	0.5962688467	0.6323767326	0.6291979122	0.4869369532	0.4105614142	0.2958436614	0.3173618613	0.5213441932	13	37
176	0.3489048333	0.2754497865	0.7376963711	1	0.9220478725	0.6438223807	0.7390217045	0.7532272304	0.4625298309	13	41
177	0.3268132677	0.3305372884	0.5400138469	0.6252374772	0.5551757413	0.530987301	0.5020695993	0.5109187237	0.4856447991	12	41
178	0.3444892061	0.3033854542	0.6245164497	0.5574013777	0.4863579028	0.4185845896	0.4628638436	0.4593531984	0.1454979424	12	40
179	0.7254715387	0.6042830281	0.2238337102	0.4310162907	0.4286196515	0.2956455319	0.3830106611	0.3886426877	0.4549174803	12	42
180	0.4830929576	0.5264395934	0.6469975511	0.6464439154	0.5795051159	0.4581157585	0.5412669695	0.539932219	0.3314003545	13	38
181	0.3888234277	0.3452393249	0.4875625048	0.6651864805	0.529755084	0.5549815109	0.5210756196	0.5409111822	0.3592350862	13	41
182	0.4683724271	0.3795170249	0.6711180642	0.6550751756	0.6278815646	0.4377459084	0.4950717187	0.4837425192	0.3960745048	12	39
183	0.5914748737	0.5542105972	0.3404633038	0.4217138571	0.5099443612	0.4349764875	0.5790646748	0.5546916829	0.3669273921	12	40
184	0.3023619679	0.211105783	0.5839252888	0.6791840322	0.7196148074	0.4674087333	0.3934990938	0.3976802492	0.3178551101	11	41
185	0.3397126254	0.4223805222	0.3943905633	0.4524021923	0.7121429054	0.4800395405	0.6300920119	0.630717691	0.414123881	12	44
186	0.6200374434	0.5762915733	0.3795469711	0.5191639199	0.7941991162	0.5841177234	0.5818754787	0.607622323	0.3355063551	11	41
187	0.4844386235	0.4360859149	0.6697751689	0.6282330198	0.6129127726	0.6386970219	0.6852569818	0.6809887147	0.4611210137	11	40
188	0.6226242889	0.5812885765	0.4449808896	0.6015483505	0.7094042002	0.5503977642	0.6003666335	0.6160111914	0.3437176937	12	38
189	0.3649800185	0.4168757901	0.5460916479	0.6088235981	0.6631227946	0.544026374	0.6454497011	0.6668054083	0.6341466321	13	41
190	0.3359165809	0.2574805449	0.4571621828	0.4605055104	0.6028178742	0.2610504094	0.3925307162	0.4179518934	0.6035568458	12	40
191	0.4100980744	0.4383856552	0.6986350098	0.5942750595	0.4137593192	0.4586001969	0.3699824812	0.3804719948	0.6302682173	12	38
192	0.5588814167	0.4429019408	0.5088411273	0.4752738262	0.498869436	0.5782873949	0.5278450148	0.5248511315	0.4951549699	14	38
193	0.6475808496	0.7168270186	0.6007873299	0.5258150138	0.6265299624	0.6019770449	0.57038536	0.5966041713	0.3960360114	13	41
194	0.3949096381	0.3484768282	0.4923447978	0.4496219012	0.382564681	0.4377146212	0.3833207513	0.3917157012	0.389873175	13	41
195	0.4035895421	0.3504239334	0.2391546173	0.5397813691	0.4902664386	0.2782406739	0.4605206882	0.4655551342	0.3683472148	12	41
196	0.4518536478	0.466645502	0.5427766408	0.6888865939	0.8213636863	0.4595790041	0.6180077837	0.613373959	0.2894725006	13	38
197	0.5751069061	0.6006580157	0.4135102124	0.4902563933	0.3625974235	0.4926582295	0.5040257904	0.5269350582	0.5299157252	12	39
198	0.4021342748	0.3954508911	0.5306861618	0.5342434345	0.530385957	0.2961964644	0.4262338486	0.4252843457	0.2503308858	12	42
199	0.6125086306	0.4930114811	0.7438052344	0.6075430767	0.7220637214	0.5900149392	0.4492984571	0.4510764002	0.2366868562	11	40
200	0.4926672421	0.4266229574	0.4128161948	0.5300474422	0.3872224497	0.5446367801	0.6201568832	0.6257779591	0.45333802	13	38
201	0.463972537	0.3208831044	0.5611652471	0.7324684095	0.7218108919	0.6087630024	0.6964108229	0.7002351721	0.3432301385	13	39
202	0.4538909343	0.4235718243	0.5735464208	0.3486952828	0.3747029521	0.5902476522	0.3922669183	0.410382914	0.311762974	13	39
